Tahun,Bulan,Tanggal,Cabai Merah Keriting,Cabai Rawit Merah
2023,7,13,36000,35090
2023,7,14,35890,34670
2023,7,15,36000,34350
2023,7,16,35530,34320
2023,7,17,35290,34590
2023,7,18,34930,34420
2023,7,19,34860,34380
2023,7,20,34050,34150
2023,7,21,34270,35080
2023,7,22,33340,34200
2023,7,23,33290,35230
2023,7,24,33340,35160
2023,7,25,33820,35190
2023,7,26,33700,35440
2023,7,27,33820,36260
2023,7,28,33550,35960
2023,7,29,33620,35680
2023,7,30,32810,35890
2023,7,31,33480,38420
2023,8,1,33930,38630
2023,8,2,34040,39290
2023,8,3,33800,39650
2023,8,4,34140,42580
2023,8,5,34030,40460
2023,8,6,33900,40090
2023,8,7,33250,41230
2023,8,8,33770,41970
2023,8,9,32890,41910
2023,8,10,33030,42370
2023,8,11,33540,41990
2023,8,12,33620,42170
2023,8,13,34320,43080
2023,8,14,35480,43570
2023,8,15,34440,42260
2023,8,16,35480,42630
2023,8,17,35240,42660
2023,8,18,35860,44840
2023,8,19,36270,43510
2023,8,20,36450,44170
2023,8,21,37930,45130
2023,8,22,38900,46710
2023,8,23,38260,45930
2023,8,24,38440,44540
2023,8,25,39370,45820
2023,8,26,39620,45060
2023,8,27,40330,45060
2023,8,28,40940,43260
2023,8,29,42630,43060
2023,8,30,43080,41890
2023,8,31,42740,40710
2023,9,1,43540,41290
2023,9,2,42890,40020
2023,9,3,43130,39100
2023,9,4,40270,39510
2023,9,5,40460,38240
2023,9,6,39760,36550
2023,9,7,39240,37880
2023,9,8,38340,37210
2023,9,9,37430,36580
2023,9,10,37560,36800
2023,9,11,36170,36410
2023,9,12,36480,36280
2023,9,13,35860,35800
2023,9,14,35710,35580
2023,9,15,35200,34380
2023,9,16,35670,34350
2023,9,17,35340,35250
2023,9,18,34190,34400
2023,9,19,33290,33510
2023,9,20,34570,33800
2023,9,21,33950,36730
2023,9,22,34040,33190
2023,9,23,34250,32350
2023,9,24,35150,33350
2023,9,25,37990,35680
2023,9,26,37750,36900
2023,9,27,38420,36800
2023,9,28,39010,37070
2023,9,29,38600,36500
2023,9,30,38590,37110
2023,1,1,38880,36920
2023,1,2,38470,39260
2023,1,3,39490,40740
2023,1,4,39830,40050
2023,1,5,38800,39860
2023,1,6,39220,40670
2023,1,7,39430,40620
2023,1,8,39410,41690
2023,1,9,38870,43330
2023,10,10,38990,43930
2023,10,11,39130,44010
2023,10,12,38930,44440
2023,10,13,38900,45390
2023,10,14,39680,45410
2023,10,15,40050,45840
2023,10,16,42140,48900
2023,10,17,42270,49610
2023,10,18,43560,51010
2023,10,19,43500,52500
2023,10,20,43100,51510
2023,10,21,43950,53570
2023,10,22,43520,54570
2023,10,23,44220,60040
2023,10,24,44590,62840
2023,10,25,44470,64390
2023,10,26,46050,65740
2023,10,27,46020,67880
2023,10,28,47580,69030
2023,10,29,47710,69090
2023,10,30,53530,74480
2023,10,31,55180,77590
2023,1,11,57750,78720
2023,1,12,59560,77940
2023,1,13,60330,79200
2023,1,14,60270,79720
2023,1,15,62020,81890
2023,1,16,67520,83790
2023,1,17,68480,82290
2023,1,18,68890,82430
2023,1,19,70140,81620
2023,11,10,71050,83330
2023,11,11,72190,82670
2023,11,12,72160,83600
2023,11,13,73070,83830
2023,11,14,72400,84100
2023,11,15,71680,82290
2023,11,16,71000,83710
2023,11,17,71400,84430
2023,11,18,72280,85000
2023,11,19,71690,78630
2023,11,20,73590,88820
2023,11,21,73410,91440
2023,11,22,71980,90170
2023,11,23,73140,95180
2023,11,24,72040,93900
2023,11,25,71750,83970
2023,11,26,70980,90840
2023,11,27,70210,91930
2023,11,28,69950,90390
2023,11,29,70370,90080
2023,11,30,71950,90850
2023,1,21,74960,90590
2023,1,22,74970,91200
2023,1,23,75970,92160
2023,1,24,77580,92870
2023,1,25,78840,95090
2023,1,26,80410,95270
2023,1,27,82230,95860
2023,1,28,82950,95130
2023,1,29,82300,95410
2023,12,10,81570,95370
2023,12,11,81970,94950
2023,12,12,82770,92890
2023,12,13,82990,93870
2023,12,14,81950,92360
2023,12,15,80890,90680
2023,12,16,80420,91030
2023,12,17,79170,90190
2023,12,18,72880,86810
2023,12,19,69750,82430
2023,12,20,66590,81230
2023,12,21,64590,81010
2023,12,22,65730,80240
2023,12,23,65740,79610
2023,12,24,63450,79590
2023,12,25,63720,81260
2023,12,26,58760,77260
